date,adClose_DXG,adClose_HAG,adClose_HQC,adClose_ITA,adClose_MBB,adClose_SHB,adClose_SSI,adClose_STB,adClose_VND,adClose_VPB
2020-04-11,,,,,,,,,,
2020-04-12,,,,,,,,,,
2020-04-13,7.869,3.13,1.08,1.91,7.17,9.645,7.222,9.04,2.681,7.389
2020-04-14,7.782,3.07,1.05,1.91,7.239,9.645,7.25,9.16,2.657,7.889
2020-04-15,8.174,3.11,1.09,1.93,7.444,9.753,7.332,9.7,2.681,8.055
2020-04-16,8.043,3.17,1.1,2.06,7.512,9.699,7.332,9.72,2.764,8.055
2020-04-17,8.6,3.17,1.1,2.2,7.74,9.753,7.471,9.73,2.894,7.945
2020-04-18,8.6,3.17,1.1,2.2,7.74,9.753,7.471,9.73,2.894,7.945
2020-04-19,8.6,3.17,1.1,2.2,7.74,9.753,7.471,9.73,2.894,7.945
2020-04-20,9.174,3.17,1.12,2.35,7.58,9.428,7.526,9.55,2.788,7.778
2020-04-21,8.539,3.12,1.06,2.35,7.125,8.507,7.058,8.99,2.598,7.241
2020-04-22,8.469,3.12,1.11,2.34,7.33,8.778,7.305,9.17,2.634,7.481
2020-04-23,8.313,3.16,1.12,2.23,7.353,8.886,7.305,9.15,2.622,7.37
2020-04-24,8.313,3.38,1.1,2.27,7.307,8.886,7.277,9.1,2.575,7.593
2020-04-25,8.313,3.38,1.1,2.27,7.307,8.886,7.277,9.1,2.575,7.593
2020-04-26,8.313,3.38,1.1,2.27,7.307,8.886,7.277,9.1,2.575,7.593
2020-04-27,8.469,3.5,1.1,2.42,7.148,8.723,7.196,8.99,2.587,7.778
2020-04-28,8.661,3.64,1.08,2.46,7.193,8.669,7.113,8.98,2.563,7.778
2020-04-29,8.6,3.6,1.1,2.42,7.261,8.615,7.14,9.1,2.587,7.593
2020-04-30,8.6,3.6,1.1,2.42,7.261,8.615,7.14,9.1,2.587,7.593
2020-05-01,8.6,3.6,1.1,2.42,7.261,8.615,7.14,9.1,2.587,7.593
2020-05-02,8.6,3.6,1.1,2.42,7.261,8.615,7.14,9.1,2.587,7.593
2020-05-03,8.6,3.6,1.1,2.42,7.261,8.615,7.14,9.1,2.587,7.593
2020-05-04,8.13,3.4,1.07,2.58,7.216,8.453,6.976,8.98,2.54,7.426
2020-05-05,8.174,3.46,1.07,2.61,7.193,8.236,6.948,8.97,2.528,7.537
2020-05-06,8.261,3.54,1.07,2.58,7.261,8.398,7.113,9.14,2.575,7.722
2020-05-07,8.452,3.55,1.07,2.58,7.421,8.723,7.25,9.34,2.598,7.926
2020-05-08,8.504,3.52,1.06,2.57,7.557,9.211,7.416,9.52,2.634,8.445
2020-05-09,8.504,3.52,1.06,2.57,7.557,9.211,7.416,9.52,2.634,8.445
2020-05-10,8.504,3.52,1.06,2.57,7.557,9.211,7.416,9.52,2.634,8.445
2020-05-11,8.869,3.76,1.07,2.58,7.648,9.482,7.772,9.69,2.788,8.926
2020-05-12,9.043,3.85,1.07,2.61,7.831,9.374,7.799,9.7,2.894,8.907
2020-05-13,9.522,3.86,1.11,2.71,7.967,9.374,7.717,9.96,2.846,8.852
2020-05-14,9.565,3.8,1.11,2.73,7.876,9.32,7.827,10.05,2.894,8.759
2020-05-15,9.217,3.88,1.09,2.63,7.717,8.398,7.662,9.8,2.823,8.833
2020-05-16,9.217,3.88,1.09,2.63,7.717,8.398,7.662,9.8,2.823,8.833
2020-05-17,9.217,3.88,1.09,2.63,7.717,8.398,7.662,9.8,2.823,8.833
2020-05-18,9.217,3.86,1.08,2.67,7.762,8.073,7.772,9.73,2.835,9.296
2020-05-19,9.565,3.89,1.08,2.61,7.922,7.857,7.854,9.9,2.882,9.26
2020-05-20,9.478,4.16,1.08,2.63,7.876,7.098,7.854,10.4,2.882,9.112
